SongNumber;SongID;AlbumID;AlbumName;ArtistID;ArtistName;Title;Year
49;b'SOTSETT12AB01863B8';575531;b'Bluesman';b'AR5U94U1187FB5CDCF';b'John Hammond';"bI Can't Be Satisfied""""";2002
50;b'SOTUNMH12A6D4FA3E6';234425;b'Etiquette';b'ARRJNTE1187FB44E12';b'Casiotone For The Painfully Alone';b'Nashville Parthenon';2006
51;b'SOEPPKB12AB018418B';505301;b'Ec8or';b'AR6IRG41187B9A4D98';b'Ec8or';b'Cocain Ducks';1995
52;b'SOGKIWV12A6D4F86C4';74655;b'Too Much Too Soon';b'ARS1OWB1187B99EEAD';b'The New York Dolls';b'Human Being';1974
53;b'SOPHYIS12AAF3B35A3';322532;b'Bossa Nova Stories';b'ARGMXQW1187FB54C34';b'Eliane Elias';b'The More I See You';2009
54;b'SOFHBAR12A6701D0FE';14592;b'Love_ Peace & Nappiness';b'AROEL1B1187B988B90';b'Lost Boyz';b'Certain Things We Do';1997
55;b'SOCPRKM12AB018A2FD';515081;b'Germicide';b'AR8W8DN1187FB35ED0';b'The Germs';b'Forming';1977
56;b'SOFGHAM12AB0186412';765750;b'Mafu\xc3\xa1';b'ARUWLCL1187FB549B8';b'Yamandu Costa';b'Mafu\xc3\xa1';0
57;b'SODHVES12A6701CE6B';17220;b'The Road To Hell Part 2';b'AR3793X1187FB50CB3';b'Chris Rea';b'Driving Home For Christmas';1986
58;b'SOXIATP12AAF3B2184';617077;b'Vanguard Visionaries';b'ARINEWW1187FB5577E';b'Perrey And Kingsley';b'Spooks In Space';1966
59;b'SOGNQWU12A8AE4868F';278999;b'Be Yourself Tonight';b'ARDGB6U1187FB3AD07';b'Eurythmics';b'Tous Les Gar\xc3\xa7ons Et Les Filles';1985
60;b'SOYQOFI12A6D4F76E1';19601;b'Hometown 2001';b'AR2J2WF1187FB46271';b'Francis Dunnery';b'Too Much Saturn';1995
61;b'SOVOLGY12A6D4F822B';38599;b'Eat / Kiss: Music For The Films By Andy Warhol';b'ARUI8651187B9ACF52';b'John Cale';b'Movement 4 [from Kiss] (Album Version)';1997
62;b'SOMZCVH12AB0182B8E';619882;b'The Ultimate Most Relaxing New Age Piano in the Universe';b'AR89DTT1187B9A7ED5';b'Suzanne Ciani';b'Stream';0
63;b'SONXJBL12AAF3B2C0C';618615;b'Classic Gold: Best of All';b'ARMD0G81187B99A519';b'Vickie Winans';b'Make Me Over';0
64;b'SOYWZTU12AB0180E26';681639;b'The Berzerker';b'AR0VZWC1187B99BA57';b'The Berzerker';b'Deform (live)';2000
65;b'SOLGHDZ12AB0183B11';449471;b'Holy Roller Novocaine';b'ARF2EHS1187B994F4E';b'Kings Of Leon';b'Wicker Chair';2003
66;b'SOTNTNJ12AAA15FBD6';321356;b'Jeux de dames_ vol. 1 (r\xc3\xa9alisation Ronald Rubinel)';b'ARZKRD01187FB45FD2';b'Edith Lefel';"bAn ti chans'""""";0
67;b'SOXZXXV12AAF3B3A67';530141;b'I Will Love Again';b'ARK4H5K1187B992F74';b'Taras';"bI Will Love Again (JJ's Club Radio)""""";0
68;b'SOPIKEG12A58291636';104765;b'White Trash ......';b'AR06EB01187FB40150';b'NOFX';b'Stickin In My Eye';1992
69;b'SOIRNBO12AC468D207';695158;b'Murskapunkkia';b'ARKPDBH1242077DEB1';b'Murskahumppa';b'Ota kiinni';0
70;b'SOSBDSF12AB0189007';509770;b'Canci\xc3\xb3n Animal';b'ARBJSO81187B9BA09B';b'Soda Stereo';b'Entre Can\xc3\xadbales';1990
71;b'SOIJXXM12A8C1416D6';223779;b'The Man from Snowy River';b'ARRC2JF1187B9B6A93';b'Bruce Rowland';b'Rosemary Recalls';1985
72;b'SOHMMMC12AB0181C42';466577;b'One World One People';b'ARNIFX51187FB418EA';b'Xcultures';b'Sudanese Dance';2000
73;b'SOVJXVJ12A8C13517D';148547;b'Tales Of Wonder';b'ARCCRTI11F4C845308';b'White Heart';b'Where The Thunder Roars (Tales Of Wonder Album Version)';0
74;b'SOFZCTA12AB0188D8F';423012;b'Waterbed Hev';b'ARNVH8S1187FB52F86';b'Heavy D / McGruff';b'Wanna Be A Player';1997
75;b'SOLRYQR12A670215BF';7133;b'The Best Of Both Worlds';b'ARNLO5S1187B9B80CC';b'Van Halen';b'Panama (Remastered Album Version)';0
76;b'SOCHRXB12A8AE48069';358442;b'Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness';b'ARTDQRC1187FB4EFD4';b'Black Eyed Peas';"bLet's Get It Started""""";2004
77;b'SOKBBXO12A6701DEA0';15567;b'Things Falling Apart';b'ARK9TRQ1187B99C095';b'Nine Inch Nails';b'Metal';2000
78;b'SOWHYUG12A58A77FAB';413222;b'Your Funeral... My Trial (2009 Digital Remaster)';b'ARODBRG1187FB3FD99';b'Nick Cave & The Bad Seeds';b'She Fell Away (2009 Digital Remaster)';0
79;b'SOYSTDI12A6D4F6500';80578;b'Oasis of Love';b'ARMBYRO1187FB57419';b'Nadine Renee';b'Next Time';0
80;b'SOOOROX12A6D4F8400';26902;"b60's Triple set""""";b'ARWY7I71187FB36C3D';b'Lesley Gore';"bIt's My Party""""";1963
81;b'SONSPZE12AB01819CE';633532;b'Yeah.  Well_ Anyway....';b'AR6Y22S1187B99906F';b'Smartbomb';b'Complicate It';2001
82;b'SOHWGFU12AB017B036';435830;b'Un Titre de Toune';b'ARI5P4N1187FB3F44D';b'Suburbs';b'Monde De Fou';2005
83;b'SOQQVQJ12AB0185192';495734;b'Live Inferno';b'ARYPWUK1187B98ACED';b'Emperor';b'Opus a Satana (Part 2)';0
84;b'SODRHHD12AB0189F2A';664484;b'Vendredi 13 - 1981';b'ARW63KF1187B98AC48';b'Julien Clerc';b'This Melody (Live)';0
85;b'SOQGFVO12A8C13C8C3';112851;b'Unconditional Love';b'AR8H87D1187FB3A841';b'Glen Campbell';"bI'm Gone This Time""""";0
86;b'SORABMD12A8C136672';200689;b'The Very Best Of';b'ARLWR721187B9A03C9';b'T.G. Sheppard';b'You Feel Good All Over';2002
87;b'SOTUBVH12AB018D2EC';682725;b'Country Lovers. Vol. 3';b'ARF4V431187FB3AA41';b'Slim Whitman';b'Indian Love Call';1990
88;b'SOMQAGT12A8C132DB4';287804;b'Affirmation';b'ARBGWMW1187B9AEA3E';b'Savage Garden';b'You Can Still Be Free';1999
89;b'SOKLLOH12A67020F2C';220917;b'Lullabies To Paralyze';b'AR6G4V01187B9AD086';b'Queens Of The Stone Age';b'I Never Came';2005
90;b'SONRLQH12AB017C232';629785;"bIt's War Again""""";b'ARVQ4QM1187B98AD95';b'Hank Penny & The Lincoln Penny Orchestra';b'Dixie';0
91;b'SODDZAD12A6701DC4C';11305;b'The Singles';b'AR9AM2N1187B9AD2F1';b'Inspiral Carpets';b'Commercial Reign';1990
92;b'SORENXV12A6701F61F';4967;b'What You Thought You Heard';b'AR9XEVF1187B99D017';b'Borialis';b'Hourglass';0
93;b'SOYMMDY12AB01825B2';325335;"bDaddy Don't Disco""""";b'ARCFOZ71187FB43A0D';b'The Dirty Skirts';b'Wake';0
94;b'SOJWQIP12A6D4F710A';82932;b'15 Exitos Vol. 2 Flor Silvestre';b'ARHFEBO11F50C4825A';b'Flor Silvestre';b'Caricia Y Herida';0
95;b'SOOVOKS12AB017EE57';401583;b'Le top du p\xc3\xa8re N\xc3\xb6el';b'AR107SB1187B9A79F9';b'B\xc3\xa9zu';b'Le tortillard';0
96;b'SORWHWY12A6702038E';8552;b'Malpractice';b'ARXWAQQ1187B9AE954';b'Redman';b'WKYA (drop)';2001
97;b'SOGYYLE12A8C13E5EA';217058;b'20 Suosikkia / Rilluttele y\xc3\xb6';b'ARL6XZC1187FB3936E';b'Solistiyhtye Suomi';b'Ter\xc3\xa4slintu';0
98;b'SOITUXQ12AB0183AE9';489673;b'The Fabulous Eddie Cantor';b'ARSDSMG1187B98CB59';b'Eddie Cantor';"bNow's The Time To Fall In Love""""";0
99;b'SOTWEZZ12A8C142B60';475992;b'Grim Prospects Remixes - Grim Prospects Will Never End';b'AR3WMW01187B9921F7';b'Schizoid';b'Grim Prospects (Gross Prospects - Bad Trip Remix)';0
100;b'SOUVRGZ12A58A77F90';495041;b'The Incredible Kai Winding Trombones';b'AR3C3C01187B98E800';b'Kai Winding';b'Mangos';1961
101;b'SOBLTSM12A6D4F9EEA';225610;b'Staying on the Watch';b'ARDD9UN1187B98D3A7';b'Sonny Simmons';b'A Distant Voice';0
102;b'SOUQVUD12A8C142DCE';473710;b'Openbare Weg';b'ARJGNV61187B98F3B5';b'Mira';b'Openbare Weg';2006
103;b'SOCRPDR12AB0185B75';710902;b'Tip World Singles 2000';b'ARSVI4L1187B996181';b'Citizen Kaned';b'President Johnson';2000
104;b'SOXVBVL12AF72A600C';341940;b'Praise Him...Live!';b'ARVJ0JK1187B98C9C0';b'The Brooklyn Tabernacle Choir';b'Lead Me Lord';1995
105;b'SOIQHDR12AB01896C8';766444;b'Spontanous Combustion';b'AR4PCIG1187B98D07D';b'Ellen McIlwaine';b'Spontanous Combustion';0
106;b'SODLSHA12AAF3B29F2';432406;b'From All Sides';b'AR1RHCO1187B9AF0BF';b'Vince Guaraldi / Bola Sete';b'Choro';0
107;b'SOAGHMH12AB0180285';546663;b'Maurice Chevalier  The Essential Collection Vol 1';b'AR1X2H01187B98CCF2';b'Maurice Chevalier';b'Ma Louise';0
108;b'SORAVUP12AB018556E';548374;b'Dave Pearce Best of the Dance Years 1988 - 1992';b'ARBQBZV1187B99D29E';b'Carl Cox Vs Yousef';b'I Want You (Forever)';1991
109;b'SOFXNQP12AB0184F1A';704183;b'The Equinox';b'AR9ODB41187FB459B2';b'Organized Konfusion';b'Hate';1997
110;b'SOGQTRZ12A8C13C8B0';307618;b'Timeless';b'ARF3GX71187FB3EB66';b'Martina McBride';"bI Can't Stop Loving You""""";2005
111;b'SOBHVZQ12AC9618285';784530;b'Feel Good All Over: Anthology 1970-1976';b'AR3PN3R1187FB4CEBD';b'Horace Andy';b'Thank You Lord';1985
112;b'SOYPBCY12AB0181EF3';534470;b'13th And Pine';b'ARYWCFZ11E2835CFDD';b'Nazz';b'How Can You Call That Beautiful (Stewkey Vocal)';0
113;b'SOWRLSY12AC4687694';599659;b'Call Tyrone';b'ARUT16P1187FB532A4';b'Tyrone Davis';"bCheatin' In The Next Room""""";0
114;b'SOOGQWR12A8C142505';372122;b'Final Vinyl';b'AREOGMA1187B9908EF';b'Hot Tuna';b'Candy Man';1971
115;b'SOJDYQY12AB0188C97';577023;b'Fifteen Poems By Dylan Thomas';b'AR4ABL21187FB3913A';b'Richard Burton';b'I See The Boys Of Summer';0
116;b'SOBHQUF12AB018B03E';572855;b'The Early Tapes 1975-1976';b'AR8YV1I1187FB45D2B';b'Rory Block';b'Three Is a Crowd';0
117;b'SOFRAZJ12A8C143CDB';523481;b'Legacy';b'ARR9XGB1187B9912E6';b'Boyz II Men';b'On Bended Knee';1994
118;b'SONNDHT12A8C13F20B';219943;b'Louie Bluie Film Soundtrack';b'ARBKUS51187B98A3AC';b'Howard Armstrong';b'My Four Reasons';0
119;b'SOYZOXW12A8C13E195';266932;b'Donny Hathaway';b'ARTB5PP1187FB523B7';b'Donny Hathaway';b'Little Girl (LP Version)';1971
120;b'SOSGJTX12AB0181F7C';514801;b'Canciones De Amor De Miguel Gallardo';b'ARXFQDY1187B9AAF1E';b'Miguel Gallardo';b'Eternamente Amame';0
121;b'SOBQBWP12AB018611B';421962;b'Irfan_ le h\xc3\xa9ros';b'ARVEJ9M1187FB4DC44';b'Les Ogres De Barback';b'Niev nietch nievitch';1999
122;b'SODULLV12AB017FA09';502384;b'What up Detroit';b'ARTHEAP122BCFCD0B2';b'DJ X-Change featuring DJ Joey A';b'Come Over';0
123;b'SOYAGJM12A8C13DCCE';254792;b'Peterbilt Angel';b'ARQESNI1187FB511EE';b'Morel';b'Blue Taxi';0
124;b'SORXUZZ12A8AE4798A';138320;b'Homemade Ice-Cream';b'ARCZ20M1187FB49687';b'Tony Joe White';b'I Want Love (Tween You & Me) (Album Version)';0
125;b'SOCHXAE12AF72A25D6';722546;b'White Feather';b'ARDF8K01187FB37200';b'Wolfmother';b'White Feather';2009
126;b'SOCRHCQ12A58A7C8C6';46647;b'Can We Go Home Now';b'AR11NP91187B9901B4';b'The Roches';b'Christlike Roche';1995
127;b'SOSEJIQ12AB017E7EB';547104;b'In North Carolina';b'ARBZAIL1187FB5B1C8';b'Bob Margolin';b'You Rascal You';0
128;b'SOMXWXQ12AC3DFA002';683402;b'Wintertime';b'ARWXHRS1241B9C7A1E';b'Thomas Battenstein';b'Sympathy';0
129;b'SOGMXBW12A6D4FB8D7';128198;b'Electropop';b'ARV1P811187FB3CFC6';b'Jupiter Rising';b'They Say (Album)';2007
130;b'SOOPUTF12AB018DFAA';818344;b'DUMB: 4-track cassette recordings (1987)';b'ARIU0MA1187B98D36F';b'Dharma Bums';"bSimon's Folly""""";0
131;b'SOFDTRZ12AB018DD11';762520;b'The Hit List';b'ARB4D891187B9954F7';b'Saafir';b'Crawl Before You Ball (Album Version)';1999
132;b'SOOGNJP12A8C1381AD';293668;b'Underneath';b'ARQOC971187B9910FA';b'The Verve Pipe';b'Medicate Myself';2001
133;b'SOFUBCP12A8C13D5EF';117983;b'99 Monkeys';b'AR19SOA1187B98F6E6';b'Bob Neuwirth';b'Biding Her Time';1990
134;b'SOVZBDR12A6702012E';6949;b'Nothing Else Matters';b'ARTDBI61187FB48479';b'Marvin Sapp';b'More And More  (LP Version)';0
135;b'SOPWKSS12AC468E659';735425;b'A Tribute to The American Horse';b'ARSE6YI1187B9B9CD2';b'James Hunter';b'Cowboy Ways';0
136;b'SOCCQIQ12A8C13C76B';158078;b'Mis Momentos';b'AR6C8EJ1187FB3F473';b'Nelson Ned';b'Brasas Vivas';0
137;b'SODBMZD12A8C134232';199953;b'Mish Mash_ Le Blues European: Musique Slave Et Klezmer';b'AROI96Z1187B9A5304';b'Mish Mash';b'Kolomeyke';0
138;b'SOBUWPY12A8C1446C0';329135;b'In this Life';b'ARIOSKN1257509BCE1';b'Cama';b'In This Life';2009
139;b'SORWXUP12A58A79E65';276924;b'Best Of Maxi Priest';b'ARI0PUX1187FB3F215';b'Maxi Priest';"bGroovin' In The Midnight""""";1991
140;b'SOJEVZW12A8C133988';193554;b'Signify (Special Edition)';b'ARYO9BU1187B9ADA88';b'Porcupine Tree';b'Waiting';1997
141;b'SOOODKC12AB018462F';409813;b'Bravo Alayki Rare recording';b'ARZ507V1187FB4425E';b'Ragheb Alama';"bA'chek Ouyounik (2009 Digital Remaster)""""";0
142;b'SODOLVO12B0B80B2F4';440990;b'In Your Honor';b'AR6XPWV1187B9ADAEB';b'Foo Fighters';b'Hell';2005
143;b'SOEHWGF12A6D4F8B2B';302176;b'Essential R&B Hit Selection';b'AR6PJ8R1187FB5AD70';b'Shakira Featuring Wyclef Jean';"bHips Don't Lie (featuring Wyclef Jean)""""";0
144;b'SOOZLTC12A6D4FBE91';124344;b'20 Suosikkia / Rautalankaklassikot / Kolme kitaraa';b'AR4CG3B1187FB5B861';b'The Avengers';b'Juoksuhauta-twist (El\xc3\xa4m\xc3\xa4 juoksuhaudoissa)';0
145;b'SOOSYMY12AB01888CD';762519;b'Talk To Your Daughter';b'AR7BMMV1187FB5B2D7';b'Robben Ford';b'I Got Over It (Album Version)';1988
146;b'SOPBKEB12A6D4FD777';177029;b'American Songbook - Bacharach';b'AREYIHC1187B99CE0B';b'Brazilian Tropical Orchestra';b'One Less Bell To Answer';0
147;b'SOEWQYW12AB0183FDE';517150;b'Nha Vit\xc3\xb3ria';b'AREEMIN11F4C848971';b'Gil Semedo';b'Festa';0
148;b'SOFBQIA12AB0182219';512234;b'Gira Me Ver\xc3\xa1s Volver';b'ARBJSO81187B9BA09B';b'Soda Stereo';b'Te Hacen Falta Vitaminas';1984
149;b'SOHDDHR12AB0183552';517488;b'Scarcity';b'ARBGJLS11F4C83D4B9';b'Xmilk';b'Sense And Trick';0
150;b'SONWQQX12AC3DF6762';776019;b'Fire';b'ARVNDLR1187B99CA1B';"b'Dolce; Oscar G.'";b'Fire (Oscar G Space Vocal Mix)';0
151;b'SOGXFIF12A58A78CC4';696947;b'Hanging On (Premiere Performance Plus Track)';b'AR5LZJD1187FB4C5E5';b'Britt Nicole';b'Hanging On (Medium Key Performance Track Without Background Vocals)';0
152;b'SOIPNSZ12A8C144128';477268;b'Grim Prospects Remixes - Prospects Are Getting Grimmer';b'AR3WMW01187B9921F7';b'Schizoid';b'Grim Prospects (Version 2 Remix)';0
153;b'SOEXSIN12A8C133B0A';281713;b'Snowflakes';b'ARAEX7Y1187FB42D36';b'Toni Braxton Featuring Shaggy';b'Christmas In Jamaica';2001
154;b'SOTSMNJ12AB018365E';492999;b'The Out Sound From Way In!';b'ARK2G5U1187FB46B34';b'Perrey And Kingsley';b'Gossippo Perpetuo';2001
155;b'SOLGRUN12A8C140543';120640;b'El Fuego De Dentro';b'ARTB56G11C8A41569D';b'Sven Tasnadi';b'2190 Dias Contigo';0
156;b'SOQCHGV12AC4688FC6';789426;b'No Control';b'AR0GGKI1187FB391D5';b'Eddie';b'No Control';0
157;b'SOXCWTT12AC9075756';785362;b'Pentagrammaton';b'ARZEWUR1187FB53DC8';b'Enthroned';b'The Vitalized Shell';2010
158;b'SOAFIPD12A8C13A261';298921;b'Pianissimo';b'AR89DTT1187B9A7ED5';b'Suzanne Ciani';b'Mozart';1989
159;b'SOMJPML12A8C13D74E';162273;b'Milan Milan';b'ARTHKKA122BCFCBF58';b'Milan Band';b'Ciao Milan';0
160;b'SOCVDYI12AC4687DDB';605167;b'Auralux Reggae Showcase';b'ARJDMBO1187B9AD118';b'Johnny Osbourne';b'Lend Me Your Chopper';2004
161;b'SOEVGMZ12A8C1421B5';474726;b'Heaven';b'ARYJSY01187B9B7C65';b'Dolly Parton';b'Letter To Heaven';1971
162;b'SOCGURJ12AB0182AEE';364642;b'Up Above My Head';b'AR77FBJ1187FB49D8D';b'Rance Allen Group';b'Heaven is Where The Heart Is';0
163;b'SOHTWLT12A8C13CFE1';307651;b'Pearl Jam';b'ARFVYJI1187B9B8E13';b'Pearl Jam';b'Inside Job';2006
164;b'SOVQZYP12A8C144692';614890;b'Take A Look';b'ARBM4TC1187FB5CE98';b'Natalie Cole';b'Take A Look  (LP Version)';0
165;b'SOHHANU12A58A77C66';538734;b'Crack The Skye';b'ARMQHX71187B9890D3';b'Mastodon';b'The Czar: Usurper/Escape/Martyr/Spiral (Album Version)';2009
166;b'SOTHWPG12AB018C90E';767591;b'Behind The Blue';b'ARYXJ5A1187B9B9E56';b'Kiril Valeri';b'Bulgarian Dream';0
167;b'SOOQHNV12AB0186CD4';554760;b'Matumago X Press';b'ARULHJM1187B997004';b'Word';b'Amalgama';0
168;b'SOSGXRU12AAF3B2B07';528941;b'The Best of DJ Quik - Da Finale';b'AROTIMO1187FB532BF';b'DJ Quik';b'Born and Raised In Compton';1991
169;b'SOFRUDU12A8C13A40C';293622;b'RCA Country Legends';b'AR0X3JJ1187FB3A9A7';b'Hank Locklin';"bWe're Gonna Go Fishin'""""";0
170;b'SONXLQQ12AB0184B54';472444;b'LOOK (Original Motion Picture Soundtrack)';b'AR035N21187FB3938E';b'BT';b'Robbers Kill Cop';0
171;b'SOKPHVH12AB0187460';763206;b'Relax';b'ARA0H5U1187FB47949';b'2-4 Grooves feat. Reki D.';b'Relax';2009
172;b'SOIUGDX12A6D4FDECA';239244;b'Joy In Our Hearts - The Gospel Side Of The Jordanaires';b'AR358YS1187FB44A29';b'The Jordanaires';b'Sweet By And By';0
173;b'SOAYYDM12AB01817E6';329967;b'Enjoy!';b'ARANOZN1187B9B373E';b'Descendents';b'Orgofart';1986
174;b'SORAJXA12A58A7A4C9';71267;b'A Nite On The Strip - Live';b'ARHONG11187FB3B120';b'L.A. Guns';b'Bitch Is Back';1988
175;b'SODJUNF12A8C13337F';282150;b'Boo-Tay';b'ARRA2F91187B9B4061';b'Bare Jr.';b'Naked Albino';1998
176;b'SOVDDWO12A6D4F9A78';46723;b'The Best Of Shelley Fabares [Digital Version]';b'ARSGZ3J1187FB3E610';b'Shelley Fabares';b'Johnny Loves Me (LP Version)';0
